Ticker,Short Name,Market Cap,Rank(Current Market Cap),Sector,Prim Exch Nm,Country,Cntry of Incorp,Best Analyst Rating,52Wk High,52Wk Low,52Wk Low Dt,52Wk High Dt,1Y Tot Ret (%),2/12/2019,1/1/2020,3/2/2020,2/3/2020,1/4/2020,1/5/2020,1/6/2020,1/7/2020,3/8/2020,1/9/2020,1/10/2020,2/11/2020
7203 JP Equity,TOYOTA MOTOR,2.34204E+11,33,"Consumer, Cyclical",Tokyo,JAPAN,JP,4.043478489,72.98,53.6,3/13/2020,2/6/2020,-1.25,70.96,71,69.75,66.39,59.12,60.82,62.47,61.96,59.67,65.83,65.68,66.28
IVV US Equity,ISHARES-C S&P500,2.34105E+11,34,Funds,NYSE Arca,UNITED STATES,US,0,365.69,220.28,3/23/2020,11/9/2020,16.92,313.41,323.24,325.56,310.4,246.8,283.53,306.68,311.81,330.11,354.06,338.24,331.36
KO US Equity,COCA-COLA CO/THE,2.31417E+11,35,"Consumer, Non-cyclical",New York,UNITED STATES,US,4.565217495,60.13,36.27,3/23/2020,2/21/2020,3.44,53.75,55.35,58.58,55.92,42.12,45.6,46.99,44.82,46.3,49.12,49.18,48.62
CRM US Equity,SALESFORCE.COM,2.274E+11,36,Technology,New York,UNITED STATES,US,4.625,284.5,115.29,3/18/2020,9/2/2020,61.41,161,162.64,185.42,176.76,134.06,156.37,176.36,191.89,203.19,281.25,253.45,232.45
CMCSA US Equity,COMCAST CORP-A,2.26662E+11,37,Communications,NASDAQ GS,UNITED STATES,US,4.428571224,49.75,31.7,3/23/2020,11/16/2020,12.92,43.63,44.97,42.66,42.52,32.42,36.98,40.18,39.7,42.88,45.05,46.44,41.4
PYPL US Equity,PAYPAL HOLDINGS,2.24895E+11,38,"Consumer, Non-cyclical",NASDAQ GS,UNITED STATES,US,4.617021084,215.83,82.07,3/23/2020,10/21/2020,81.9,106.21,108.17,116.51,112.86,91.38,120.61,154.53,177.43,197.07,208.93,196.94,187.76
ADBE US Equity,ADOBE INC,2.21126E+11,39,Technology,NASDAQ GS,UNITED STATES,US,4.333333492,536.88,255.13,3/18/2020,9/2/2020,55.16,302.75,329.81,358,360.28,301.21,343.84,389.68,439.81,447.97,527.95,499.51,444.94
2318 HK Equity,PING AN,2.2008E+11,40,Financial,Hong Kong,CHINA,CN,4.727272511,13,8.9,3/23/2020,1/20/2020,-1.2,11.44,11.82,11.28,11.19,9.71,10.28,9.99,10,10.49,10.57,10.26,10.23
NOVN SW Equity,NOVARTIS AG-REG,2.14036E+11,41,"Consumer, Non-cyclical",SIX-SW,SWITZERLAND,CH,4.310344696,98.54,68.73,3/16/2020,2/13/2020,-8.11,91.12,95.14,94.66,85.74,81.54,85.64,86.37,87.57,84.19,86.95,87.51,79.45
NFLX US Equity,NETFLIX INC,2.11664E+11,42,Communications,NASDAQ GS,UNITED STATES,US,3.976744175,575.37,290.25,3/17/2020,7/13/2020,60.17,309.99,323.57,358,381.05,364.08,415.27,425.92,485.64,498.62,556.55,527.51,484.12
OR FP Equity,L'OREAL,2.1077E+11,43,"Consumer, Non-cyclical",EN Paris,FRANCE,FR,3.333333254,380.46,218.72,3/16/2020,11/12/2020,20.76,278.76,296.05,282,276.71,254.88,291.51,288.04,322.94,326.74,331.17,332.03,330.12
PFE US Equity,PFIZER INC,2.07495E+11,44,"Consumer, Non-cyclical",New York,UNITED STATES,US,3.666666746,39.8,26.43,3/23/2020,11/9/2020,5.57,36.3,37.14,35.56,33.06,30.1,35.68,33.61,31.98,36.35,34.96,34.48,34.34
T US Equity,AT&T INC,2.0644E+11,45,Communications,New York,UNITED STATES,US,3.322580576,39.55,26.08,3/23/2020,11/18/2019,-20.5,37.32,39.08,36.96,37.18,28.05,29.9,30.93,29.9,29.62,29.47,28.49,27.34
NKE US Equity,NIKE INC -CL B,2.0425E+11,46,"Consumer, Cyclical",New York,UNITED STATES,US,4.527777672,136.35,60,3/18/2020,11/9/2020,42.33,93.56,101.31,99.27,92.68,79.23,85.54,99.54,97.4,98.33,114.84,126.64,122.39
MRK US Equity,MERCK & CO,2.02858E+11,47,"Consumer, Non-cyclical",New York,UNITED STATES,US,4.583333492,92.64,65.25,3/23/2020,12/20/2019,-2.15,87.04,90.95,87.34,81.37,73.8,77.67,79.56,78.12,82.54,84.43,81.64,76.71
ABT US Equity,ABBOTT LABS,2.01464E+11,48,"Consumer, Non-cyclical",New York,UNITED STATES,US,4.304347992,115.14,61.61,3/23/2020,11/6/2020,33.72,84.51,86.86,87.06,81.61,76.57,89.85,93.01,91.64,100.68,106.55,108.64,107.48
PEP US Equity,PEPSICO INC,2.01434E+11,49,"Consumer, Non-cyclical",NASDAQ GS,UNITED STATES,US,4.300000191,147.2,101.42,3/20/2020,2/18/2020,9.63,135.88,136.67,142.51,137.58,118.12,130.14,132.99,132.36,136.7,139.19,140.8,135.15
939 HK Equity,CCB-H,1.92639E+11,50,Financial,Hong Kong,CHINA,CN,4.666666508,0.88,0.64,10/7/2020,1/3/2020,-3.16,0.8,0.86,0.77,0.83,0.8,0.82,0.81,0.81,0.73,0.71,0.65,0.71
TMO US Equity,THERMO FISHER,1.90633E+11,51,"Consumer, Non-cyclical",New York,UNITED STATES,US,4.454545498,532.57,250.21,3/23/2020,11/6/2020,48.24,313.04,324.87,318.34,304.96,275.2,329.81,349.33,359.77,419.09,433.73,438.2,480.55
INTC US Equity,INTEL CORP,1.89287E+11,52,Technology,NASDAQ GS,UNITED STATES,US,3.090909004,69.29,43.61,10/30/2020,1/24/2020,-19.88,57.66,59.85,64.42,58.18,51.88,57.47,61.86,58.81,48.3,50.79,52.24,44.46
VTI US Equity,VANGUARD TL SK E,1.85366E+11,53,Funds,NYSE Arca,UNITED STATES,US,0,187.52,109.49,3/23/2020,11/9/2020,18.25,158.57,163.62,164.96,156.67,122.96,141.81,154.75,157.44,166.96,178.85,171.73,168.73
ASML NA Equity,ASML HOLDING NV,1.80887E+11,54,Technology,EN Amsterdam,NETHERLANDS,NL,3.928571463,426.31,189.66,3/19/2020,11/16/2020,46.4,264.3,295.71,287.53,279.78,256.19,297.39,326,368.5,364.34,385.65,377.48,364.83
CSCO US Equity,CISCO SYSTEMS,1.79562E+11,55,Communications,NASDAQ GS,UNITED STATES,US,3.758620739,50.28,32.4,3/16/2020,2/12/2020,-6.39,44.7,47.96,46.53,41.17,38.33,40.92,46.3,46.06,47.16,42.03,38.8,35.9
RIL IN Equity,RELIANCE INDS,1.76844E+11,56,Energy,Natl India,INDIA,IN,4.057142735,32.26,11.37,3/23/2020,9/30/2020,32.42,21.93,20.96,19.25,17.95,13.98,19.14,20.12,23.01,26.71,28.57,30.39,25.2
VOO US Equity,VANGUARD S&P 500,1.7616E+11,57,Funds,NYSE Arca,UNITED STATES,US,0,335.2,200.55,3/23/2020,11/9/2020,16.9,286.3,295.8,297.84,283.87,226.15,259.82,280.97,285.37,301.99,324.02,309.6,303.31
ABBV US Equity,ABBVIE INC,1.73652E+11,58,"Consumer, Non-cyclical",New York,UNITED STATES,US,4.478260994,101.28,62.55,3/23/2020,7/17/2020,18.06,87.03,88.54,82.3,88.69,73.42,82.84,90.7,99.14,95.94,92.24,87.14,88.25
ORCL US Equity,ORACLE CORP,1.72072E+11,59,Technology,New York,UNITED STATES,US,3.571428537,62.6,39.71,3/12/2020,9/21/2020,2.06,55.43,52.98,53.09,50.9,48.71,51.79,53.06,55.49,55.98,57.66,59.68,56.45
CVX US Equity,CHEVRON CORP,1.7125E+11,60,Energy,New York,UNITED STATES,US,4.172413826,122.72,51.6,3/19/2020,1/3/2020,-22.23,116.8,120.51,106.28,96.59,68.56,89.44,92.79,87.62,84.81,83.08,70.42,72.15
PRX NA Equity,PROSUS NV,1.70299E+11,61,Communications,EN Amsterdam,NETHERLANDS,NL,4.647058964,119.55,50.71,3/18/2020,11/9/2020,38.93,67.11,74.61,73.95,72.39,66.9,76.01,84.65,93.18,98.9,103.9,93.21,102.09
PDD US Equity,PINDUODUO INC,1.70099E+11,62,Communications,NASDAQ GS,CHINA,KY,3.957446814,155.61,30.2,3/16/2020,11/13/2020,238.06,36.04,37.82,35.79,37.51,35.9,45.43,65.76,85.45,96.03,91.36,74.43,91.62
QCOM US Equity,QUALCOMM INC,1.68598E+11,63,Technology,NASDAQ GS,UNITED STATES,US,4.303030491,149.85,58,3/18/2020,11/9/2020,72.49,82.45,88.23,86.48,80.56,65.9,75.64,79.73,89.78,109.59,122.01,119.52,123.97
COST US Equity,COSTCO WHOLESALE,1.67574E+11,64,"Consumer, Cyclical",NASDAQ GS,UNITED STATES,US,4.142857075,389.5,271.28,2/28/2020,11/9/2020,27.98,297.39,293.92,302,309.14,286.78,301.92,308.29,304.75,329.32,351.38,358.46,364.39
1288 HK Equity,ABC-H,1.65994E+11,65,Financial,Hong Kong,CHINA,CN,4.548387051,0.45,0.31,10/7/2020,1/2/2020,-8.38,0.41,0.44,0.39,0.41,0.4,0.42,0.41,0.4,0.35,0.33,0.31,0.36
600036 CH Equity,CHINA MERCH BK-A,1.64045E+11,66,Financial,Shanghai,CHINA,CN,4.444444656,6.72,4.04,3/19/2020,11/12/2020,27.12,5.13,5.4,4.99,4.99,4.53,4.97,4.89,4.92,5.01,5.48,5.3,6.02
DHR US Equity,DANAHER CORP,1.63138E+11,67,"Consumer, Non-cyclical",New York,UNITED STATES,US,4.652173996,248.32,119.6,3/23/2020,11/9/2020,57.94,145.69,153.48,161,150.69,128.7,160.77,165.38,177.16,206.83,208.38,214.67,232.44
000858 CH Equity,WULIANGYE YIBI-A,1.61625E+11,68,"Consumer, Non-cyclical",Shenzhen,CHINA,CN,4.644444466,42.12,13.88,3/19/2020,11/11/2020,103.05,18.04,19.1,16.17,17.62,16.2,19.22,22.25,25.74,31.19,34.6,32.54,36.72
MCD US Equity,MCDONALDS CORP,1.61488E+11,69,"Consumer, Cyclical",New York,UNITED STATES,US,4.411764622,231.91,124.23,3/18/2020,10/16/2020,14.06,195.18,197.61,215.18,202.55,158.17,182.66,187.41,184.66,194.4,212.69,219.59,212.56
XOM US Equity,EXXON MOBIL CORP,1.61349E+11,70,Energy,New York,UNITED STATES,US,3,71.37,30.11,3/23/2020,1/3/2020,-40.45,68.42,69.78,60.73,53.88,37.53,43.14,46.28,43.71,42.25,39.43,33.13,33.99
ULVR LN Equity,UNILEVER PLC,1.6134E+11,71,"Consumer, Non-cyclical",London,BRITAIN,GB,3.578947306,64.34,43.84,3/16/2020,10/14/2020,1.18,58.75,57.67,59.56,55.33,49.51,51.29,53.8,54.14,60.9,59.27,61.96,57.8
UNA NA Equity,UNILEVER NV,1.60973E+11,72,"Consumer, Non-cyclical",EN Amsterdam,BRITAIN,NL,3.64516139,63.33,42.87,3/16/2020,2/17/2020,-4.32,58.99,57.45,58.58,54.25,47.83,50.08,51.93,53.48,60.11,58.11,60.75,57.41
TMUS US Equity,T-MOBILE US INC,1.59679E+11,73,Communications,NASDAQ GS,UNITED STATES,US,4.599999905,132.33,63.38,3/18/2020,11/16/2020,67.74,77.5,78.28,79.31,93.12,84.97,86.04,99.52,106.13,106.88,116.9,115.73,110.39
NOVOB DC Equity,NOVO NORDISK-B,1.58512E+11,74,"Consumer, Non-cyclical",Copenhagen,DENMARK,DK,3.702702761,73.85,49.22,3/16/2020,10/13/2020,12.14,55.9,58.06,61.25,60.27,60.71,63.54,65.12,65.46,65.41,66.01,69.45,65.07
ACN US Equity,ACCENTURE PLC-A,1.55427E+11,75,Technology,New York,IRELAND,IE,4.038461685,248,137.15,3/23/2020,11/9/2020,24.6,199.59,210.57,207.8,189.55,154.68,180.09,203.38,214.59,227.18,240.02,225.18,220.19
AVGO US Equity,BROADCOM INC,1.54038E+11,76,Technology,NASDAQ GS,UNITED STATES,US,4.545454502,393.89,155.67,3/18/2020,11/9/2020,26.77,310.72,316.02,305.23,284.97,223.63,259.7,289.99,312.73,321.23,359.54,368.6,351.25
NEE US Equity,NEXTERA ENERGY,1.52318E+11,77,Utilities,New York,UNITED STATES,US,4.181818008,83.34,43.7,3/23/2020,11/9/2020,31.94,57.81,60.54,66.7,67.09,54.56,56.76,63.91,61.56,69.4,69.28,70.69,75.13
MDT US Equity,MEDTRONIC PLC,1.50063E+11,78,"Consumer, Non-cyclical",New York,IRELAND,IE,4.428571224,122.15,72.13,3/18/2020,1/22/2020,2.25,110.91,113.45,117.99,102.62,84.11,95.14,97.11,92.32,97.33,107.52,102.3,102.43
AZN LN Equity,ASTRAZENECA PLC,1.48602E+11,79,"Consumer, Non-cyclical",London,BRITAIN,GB,4,128.03,71.83,3/16/2020,7/20/2020,14.33,96,100.85,96.97,89.79,88.03,102.63,108.5,105.48,114.48,109.77,109.33,100.32
CHTR US Equity,CHARTER COMMUN-A,1.4851E+11,80,Communications,NASDAQ GS,UNITED STATES,US,4.375,663.7,345.67,3/18/2020,10/12/2020,35.82,470.33,485.08,532.05,497.13,424.03,509.64,541.3,521.91,589.7,617.24,635.11,588.43
2628 HK Equity,CHINA LIFE-H,1.48127E+11,81,Financial,Hong Kong,CHINA,CN,4.451612949,2.94,1.5,3/19/2020,1/14/2020,-11.31,2.54,2.78,2.41,2.36,1.93,2.13,1.92,2.01,2.31,2.42,2.24,2.17
SAP GR Equity,SAP SE,1.46603E+11,82,Technology,Xetra,GERMANY,DE,3.973684311,169.59,89.77,3/16/2020,9/3/2020,-17.31,133.28,134.93,132.46,126.38,105.11,118.96,127.91,140.33,162.11,166.26,156.96,105.76
HON US Equity,HONEYWELL INTL,1.46365E+11,83,Industrial,New York,UNITED STATES,US,4.28000021,210,101.08,3/23/2020,11/9/2020,15.17,174.32,177,171.32,164.24,129.71,137.25,146.18,144.11,148.53,167.97,163.68,173.61
BMY US Equity,BRISTOL-MYER SQB,1.45754E+11,84,"Consumer, Non-cyclical",New York,UNITED STATES,US,4.272727489,68.34,45.76,3/23/2020,1/22/2020,13.31,57.41,64.19,63.58,60.34,54.82,60.26,60.29,59.43,59.1,60.97,59.82,59.49
UPS US Equity,UNITED PARCEL-B,1.45599E+11,85,Industrial,New York,UNITED STATES,US,3.571428537,178.01,82,3/12/2020,10/21/2020,42.76,118.22,117.06,102.03,92.75,90.39,91.9,99.28,114.42,142.18,162.65,167.65,159.55
TXN US Equity,TEXAS INSTRUMENT,1.45319E+11,86,Technology,NASDAQ GS,UNITED STATES,US,3.333333254,164.63,93.09,3/16/2020,11/9/2020,37.43,118.79,128.29,123.4,118.97,96.89,109.71,117.86,124.8,129.32,144.96,144.91,145.6
QQQ US Equity,INVESCO QQQ TRUS,1.40296E+11,87,Funds,NASDAQ GM,UNITED STATES,US,0,303.5,164.93,3/23/2020,9/2/2020,44.84,203,212.61,222.38,216.42,182.31,212.74,234.06,250.49,269.38,299.92,282.25,269.98
UNP US Equity,UNION PAC CORP,1.39295E+11,88,Industrial,New York,UNITED STATES,US,4.206896782,210.95,105.08,3/18/2020,10/16/2020,18.04,173,180.79,180.29,160.34,136.49,156.64,169.5,166.88,172.06,195.8,194.23,179.24
AMGN US Equity,AMGEN INC,1.37776E+11,89,"Consumer, Non-cyclical",NASDAQ GS,UNITED STATES,US,3.838709593,264.97,177.05,3/23/2020,7/6/2020,2.83,233.48,241.07,216.88,212.2,197.81,230.98,226.91,255.12,247.36,250.86,255.39,220.21
ABI BB Equity,ANHEUSER-BUSCH I,1.37184E+11,90,"Consumer, Non-cyclical",EN Brussels,BELGIUM,BE,3.971428633,83.86,31.01,3/19/2020,1/7/2020,-22.29,79,81.54,75.47,58.14,43.48,46.02,48.85,48.92,54.43,57.79,53.79,52.23
1299 HK Equity,AIA,1.36425E+11,91,Financial,Hong Kong,HONG KONG,HK,4.758620739,11.61,7.73,3/19/2020,11/11/2020,17.05,10.08,10.5,10.11,9.82,8.99,9.28,8.53,9.33,8.95,10.37,9.79,9.46
9984 JP Equity,SOFTBANK GROUP C,1.3625E+11,92,Communications,Tokyo,JAPAN,JP,4.882352829,69.25,23.52,3/19/2020,10/13/2020,61.43,38.85,43.77,41.43,46.75,34.32,43.15,46.64,51.68,65.34,61.49,61.29,63.86
TCS IN Equity,TATA CONSULTANCY,1.34557E+11,93,Technology,Natl India,INDIA,IN,3.622222185,39.34,20.33,3/13/2020,10/8/2020,27.44,28.21,30.38,29.49,27.55,22.31,26.55,27.06,27.71,29.97,30.74,34.46,34.96
LLY US Equity,ELI LILLY & CO,1.34486E+11,94,"Consumer, Non-cyclical",New York,UNITED STATES,US,3.952380896,170.75,113.29,11/18/2019,7/9/2020,27.11,116.74,131.43,141,132.84,136.42,153.63,152.45,163.3,152.84,147.3,144.29,131.63
LIN US Equity,LINDE PLC,1.33928E+11,95,Basic Materials,New York,BRITAIN,IE,4.194444656,269.78,146.71,3/16/2020,11/9/2020,24.17,200.63,212.9,209.44,198.15,160.87,180.33,205.22,214.77,244.31,256.94,232.7,228.58
JD US Equity,JD.COM INC-ADR,1.33423E+11,96,Communications,NASDAQ GS,CHINA,KY,4.775510311,92.77,30.84,12/3/2019,11/6/2020,165.23,32.29,35.23,39.2,43.3,40.91,41.38,54.73,60,64.53,82.49,78.57,82.32
3988 HK Equity,BANK OF CHINA-H,1.32749E+11,97,Financial,Hong Kong,CHINA,CN,4.333333492,0.44,0.3,10/7/2020,1/3/2020,-10.99,0.4,0.43,0.39,0.4,0.38,0.38,0.37,0.37,0.33,0.33,0.31,0.33
1306 JP Equity,NEXT FUNDS TOPIX,1.32275E+11,98,Funds,Tokyo,JAPAN,JP,0,17.36,11.57,3/17/2020,12/13/2019,4.44,16.3,16.41,15.95,14.67,13.21,14.07,15.3,15.07,14.76,15.69,15.97,15.93
SAN FP Equity,SANOFI,1.27783E+11,99,"Consumer, Non-cyclical",EN Paris,FRANCE,FR,4.466666698,110.35,75.14,3/16/2020,7/21/2020,6.72,91.39,100.5,96.88,95.69,86.24,98,98.71,102.62,106.05,100.14,100.18,92.3
941 HK Equity,CHINA MOBILE,1.27174E+11,100,Communications,Hong Kong,HONG KONG,HK,4.615384579,9.01,5.82,3/19/2020,1/20/2020,-19.86,7.58,8.4,8.21,7.88,7.36,8.06,7.16,6.75,6.95,6.94,6.38,6.26
RDSA LN Equity,ROYAL DUTCH SH-A,1.25677E+11,101,Energy,London,NETHERLANDS,GB,3.916666746,30.77,10.93,10/28/2020,1/6/2020,-43.68,28.66,29.63,25.55,21.98,17.62,15.41,16.09,16.28,14.93,14.53,11.97,13.09
BHP LN Equity,BHP GROUP PLC,1.24828E+11,102,Basic Materials,London,AUSTRALIA,GB,4.115384579,24.39,11.73,3/12/2020,1/17/2020,1.03,22.23,23.56,21.54,18.56,15.01,16.14,19.86,20.32,22.16,23.46,21.22,19.45
6861 JP Equity,KEYENCE CORP,1.23928E+11,103,Industrial,Tokyo,JAPAN,JP,4.199999809,516.66,269.13,3/17/2020,11/12/2020,41.9,348.22,354.26,341.58,321.73,315.18,362.43,411.69,412.77,400.6,408.6,464.05,459.61
